condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	1.8892128768401976e-05	510							
Maltohexaose	Varel_Bryant_medium	1.8892128768401884e-05	510							
Laminaribiose	Varel_Bryant_medium	0.7808802389077618	510	429.0	39.0	22.0	20.0	0.6034556792892377	0.570405989590522	0.838858665887765
Stachyose - 70%	Varel_Bryant_medium	1.8869478076218402e-05	510							
Melibiose	Varel_Bryant_medium	1.886947807621651e-05	510							
D-Glucose	Varel_Bryant_medium	0.4185629116878881	510	428.0	39.0	22.0	21.0	0.5968271204914456	0.603011754232493	0.8164591624374749
D-Trehalose dihydrate	Varel_Bryant_medium	1.8869478076215624e-05	510							
D-Arabinose	Varel_Bryant_medium	0.3721119723006407	510	413.0	43.0	37.0	17.0	0.5620775760963851	0.6387579223307776	0.7718168604651162
D-Raffinose pentahydrate	Varel_Bryant_medium	1.1989386933953687	510	421.0	42.0	29.0	18.0	0.5915261750776761	0.6242305266806334	0.8095222817543073
L-Fucose	Varel_Bryant_medium	0.2124695441545714	510	422.0	38.0	25.0	25.0	0.5472461915414936	0.5256635028276826	0.8236745854195519
Beta-Lactose	Varel_Bryant_medium	0.7530096752768156	510	421.0	40.0	30.0	19.0	0.5683265144885603	0.5960117927166503	0.778262987012987
D-Fructose	Varel_Bryant_medium	0.4185629116878841	510	421.0	42.0	29.0	18.0	0.5915261750776761	0.6119507465409438	0.7859892842247105
D-Maltose monohydrate	Varel_Bryant_medium	1.886947807621597e-05	510							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.21246954415461103	510	414.0	45.0	32.0	19.0	0.5841928781812776	0.6402307578274835	0.8095138118232806
D-Mannose	Varel_Bryant_medium	1.886947807622626e-05	510							
D-Xylose	Varel_Bryant_medium	0.3442414086681555	510	415.0	42.0	35.0	18.0	0.5599356111068712	0.6188522064742598	0.7687831798686302
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3714500852586112	510	419.0	41.0	27.0	23.0	0.5653076608182364	0.5878844421615097	0.8465364652648389
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	1.8869478076204694e-05	510							
L-Arabinose	Varel_Bryant_medium	0.34424140866813296	510	416.0	44.0	31.0	19.0	0.5844425947222737	0.6053800465344844	0.8084444444444444
D-Galactose	Varel_Bryant_medium	0.29267271296232544	510	423.0	43.0	27.0	17.0	0.6148249671733739	0.60633579670009	0.8219155844155843
D-Glucosamine Hydrochloride	Varel_Bryant_medium	1.886947807621184e-05	510							
D-Ribose	Varel_Bryant_medium	0.26062971777330735	510	416.0	41.0	34.0	19.0	0.5529061731168802	0.566119502921864	0.7592490421455937
Red Arabinan from sugar-beet	Varel_Bryant_medium	1.0317153116008915	510	423.0	36.0	23.0	28.0	0.5291818771714143	0.5542531103600437	0.8051035363974596
Amylose from potato	Varel_Bryant_medium	13.225036964354592	510	429.0	34.0	20.0	27.0	0.5408605118613888	0.5363480499313552	0.7882553606237818
Starch	Varel_Bryant_medium	12.33730640461747	510	426.0	40.0	22.0	22.0	0.5960541474654378	0.5892966287885814	0.8347494239631337
